ArkivobjektID_Arende,ArkivobjektID_Handling,Lank
dnr 2022/1,1,0
dnr 2022/1,2,0
dnr 2022/1,3,0
dnr 2022/10,1,1
dnr 2022/11,1,1
dnr 2022/12,1,3
dnr 2022/13,1,1
dnr 2022/13,2,1
dnr 2022/14,1,1
dnr 2022/14,2,1
dnr 2022/14,3,1
dnr 2022/15,1,1
dnr 2022/16,1,1
dnr 2022/19,1,1
dnr 2022/19,2,1
dnr 2022/2,1,1
dnr 2022/2,2,1
dnr 2022/2,3,1
dnr 2022/20,1,1
dnr 2022/20,2,0
dnr 2022/20,3,1
dnr 2022/20,4,1
dnr 2022/22,1,1
dnr 2022/23,1,1
dnr 2022/24,1,1
dnr 2022/24,2,1
dnr 2022/24,3,1
dnr 2022/25,1,1
dnr 2022/27,1,1
dnr 2022/27,2,1
dnr 2022/28,1,5
dnr 2022/28,2,5
dnr 2022/3,1,1
dnr 2022/4,1,1
dnr 2022/5,1,0
dnr 2022/7,1,1
dnr 2022/7,2,1
dnr 2022/8,1,1
dnr 2022/8,2,1
dnr 2022/8,3,0
dnr 2022/8,4,1
dnr 2022/9,1,1
dnr 2022/9,2,0
dnr 2022/9,3,1
dnr/1,1,2
dnr/1,2,1
dnr/10,1,1
dnr/10,2,1
dnr/10,3,0
dnr/10,4,1
dnr/10,5,1
dnr/10,6,1
dnr/10,7,1
dnr/10,8,1
dnr/10,9,1
dnr/10,10,1
dnr/10,11,1
dnr/10,12,1
dnr/10,13,1
dnr/10,14,1
dnr/11,1,0
dnr/11,2,1
dnr/11,3,0
dnr/12,1,1
dnr/12,2,1
dnr/13,1,1
dnr/14,1,0
dnr/15,1,1
dnr/16,1,1
dnr/16,2,1
dnr/16,3,1
dnr/16,4,1
dnr/16,5,1
dnr/17,1,0
dnr/17,2,1
dnr/19,1,1
dnr/23,1,0
dnr/23,2,1
dnr/23,3,1
dnr/24,1,1
dnr/37,1,1
dnr/39,1,1
dnr/41,1,1
dnr/41,2,1
dnr/41,3,2
dnr/41,4,2
dnr/41,5,1
dnr/42,1,0
dnr/43,1,0
dnr/43,2,0
dnr/44,1,0
dnr/46,1,0
dnr/46,2,0
dnr/48,1,1
dnr/48,2,1
dnr/49,1,2
dnr/49,2,1
dnr/55,1,0
dnr/56,1,1
dnr/56,2,1
dnr/58,1,2
dnr/60,1,1
dnr/62,1,1
dnr/62,2,1
dnr/62,3,1
dnr/63,1,1
dnr/63,2,2
dnr/63,3,2
dnr/63,4,2
dnr/64,1,0
dnr/67,1,0
dnr/67,2,1
dnr/71,1,1
dnr/71,2,0
dnr/71,3,0
dnr/71,4,1
dnr/72,1,1
dnr/73,1,1
dnr/73,2,1
dnr/73,3,1
dnr/73,4,1
dnr/73,5,1
dnr/73,6,1
dnr/73,7,1
dnr/73,8,1
dnr/73,9,1
dnr/73,10,1
dnr/74,1,0
dnr/77,1,1
dnr/77,2,1
dnr/78,1,1
dnr/79,1,1
dnr/79,2,1
dnr/79,3,1
dnr/79,4,1
dnr/79,5,1
dnr/8,1,1
dnr/80,1,1
dnr/80,2,1
dnr/80,3,1
dnr/81,1,1
dnr/81,2,1
dnr/82,1,1
dnr/82,2,1
dnr/84,1,1
dnr/84,2,1
dnr/85,1,1
dnr/86,1,1
dnr/86,2,0
dnr/87,1,1
dnr/87,2,1
dnr/89,1,1
dnr/9,1,1
dnr/90,1,1
dnr/91,1,0
dnr/91,2,0
dnr/92,1,0
dnr/95,1,1
dnr/95,2,1
dnr/96,1,0
dnr/97,1,0
dnr/98,1,1
dnr/98,2,1
